Hannanum,Kkma,Komoran,Mecab,Okt,Twitter
아버지가방에들어가 / N,아버지 / NNG,아버지 / NNG,아버지 / NNG,아버지 / Noun,아버지 / Noun
이 / J,가방 / NNG,가방 / NNP,가 / JKS,가방 / Noun,가방 / Noun
시ㄴ다 / E,에 / JKM,에 / JKB,방 / NNG,에 / Josa,에 / Josa
