Hannanum,Kkma,Komoran,Mecab,Okt,Twitter
하늘 / N,하늘 / NNG,하늘 / NNG,하늘 / NNG,하늘 / Noun,하늘 / Noun
을 / J,을 / JKO,을 / JKO,을 / JKO,을 / Josa,을 / Josa
나 / N,날 / VV,나 / NP,나 / NP,나 / Noun,나 / Noun
는 / J,는 / ETD,는 / JX,는 / JX,는 / Josa,는 / Josa
자동차 / N,자동차 / NNG,자동차 / NNG,자동차 / NNG,자동차 / Noun,자동차 / Noun
