Hannanum,Kkma,Komoran,Mecab,Okt,Twitter
나 / N,나 / NP,나 / NP,나 / NP,나 / Noun,나 / Noun
는 / J,는 / JX,는 / JX,는 / JX,는 / Josa,는 / Josa
밥 / N,밥 / NNG,밥 / NNG,밥 / NNG,밥 / Noun,밥 / Noun
을 / J,을 / JKO,을 / JKO,을 / JKO,을 / Josa,을 / Josa
먹 / P,먹 / VV,먹 / VV,먹 / VV,먹는다 / Verb,먹는다 / Verb
